year,month,state,incidences
2021,8,Niedersachsen,34.52728822191241
2021,9,Niedersachsen,64.62331257140197
2021,10,Niedersachsen,55.753551203548085
2021,11,Niedersachsen,157.02651038306277
2021,12,Niedersachsen,185.35877650918388
2022,1,Niedersachsen,552.8015076445671
2022,2,Niedersachsen,1244.8491674123168
2022,3,Niedersachsen,1796.040677250205
2022,4,Niedersachsen,1407.063624562224
2022,5,Niedersachsen,615.379580288395
2022,6,Niedersachsen,713.3966053783357
2022,7,Niedersachsen,928.6710077165436
2022,8,Niedersachsen,393.65818465294376
2022,9,Niedersachsen,346.7828474396905
2022,10,Niedersachsen,699.9245585363079
2022,11,Niedersachsen,359.4915729115784
2022,12,Niedersachsen,449.7243891176235
2023,1,Niedersachsen,263.2671838633545
2020,3,Bremen,8.845821527181732
2020,4,Bremen,18.976154891940386
2020,5,Bremen,18.459393602005647
2020,6,Bremen,9.93402447731805
2020,7,Bremen,3.333277222371984
2020,8,Bremen,6.9288294765472
2020,9,Bremen,13.881025274109597
2020,10,Bremen,84.63853708137388
2020,11,Bremen,169.16421642179
2020,12,Bremen,117.2703196746378
2021,1,Bremen,80.8665452603492
2021,2,Bremen,76.57477201265996
2021,3,Bremen,94.64313738543171
2021,4,Bremen,143.4569715318256
2021,5,Bremen,72.38790877769199
2021,6,Bremen,14.694077872699616
2021,7,Bremen,13.123288864045351
2021,8,Bremen,49.22187051405382
2021,9,Bremen,114.561574937087
2021,10,Bremen,87.51402515732566
2021,11,Bremen,139.7218571698181
2021,12,Bremen,257.000919345516
2022,1,Bremen,1226.5506450940525
2022,2,Bremen,1071.402701573162
2022,3,Bremen,1195.3637594941772
2022,4,Bremen,1192.9206278342892
2022,5,Bremen,536.3858204962024
2022,6,Bremen,536.8610946447428
2022,7,Bremen,780.7975383151635
2022,8,Bremen,366.9847617729659
2022,9,Bremen,332.18865382634874
2022,10,Bremen,575.3217411266276
2022,11,Bremen,318.20414913060034
2022,12,Bremen,383.9038856427453
2023,1,Bremen,226.69953294392477
2020,3,Nordrhein-Westfalen,16.14847662128957
2020,4,Nordrhein-Westfalen,24.90786726086712
2020,5,Nordrhein-Westfalen,7.010372761985421
2020,6,Nordrhein-Westfalen,6.628882076026171
2020,7,Nordrhein-Westfalen,6.786675751584747
2020,8,Nordrhein-Westfalen,12.919177220943867
2020,9,Nordrhein-Westfalen,13.897853141158608
2020,10,Nordrhein-Westfalen,69.92520192852882
2020,11,Nordrhein-Westfalen,169.0999067519402
2020,12,Nordrhein-Westfalen,164.51628362254922
2021,1,Nordrhein-Westfalen,119.23446578268172
2021,2,Nordrhein-Westfalen,66.18820081146781
2021,3,Nordrhein-Westfalen,95.41514332766862
2021,4,Nordrhein-Westfalen,159.34310579248364
2021,5,Nordrhein-Westfalen,96.43320767830146
2021,6,Nordrhein-Westfalen,17.024656239018228
2021,7,Nordrhein-Westfalen,12.591280235465163
2021,8,Nordrhein-Westfalen,76.75111014050565
2021,9,Nordrhein-Westfalen,90.15045308425728
2021,10,Nordrhein-Westfalen,66.11353444639987
2021,11,Nordrhein-Westfalen,202.2939695899709
2021,12,Nordrhein-Westfalen,260.1223702551536
2022,1,Nordrhein-Westfalen,750.4858332836285
2022,2,Nordrhein-Westfalen,1484.9312720321325
2022,3,Nordrhein-Westfalen,1480.219674639411
2022,4,Nordrhein-Westfalen,963.5583874689244
2022,5,Nordrhein-Westfalen,421.77108496078864
2022,6,Nordrhein-Westfalen,571.8715329869079
2022,7,Nordrhein-Westfalen,676.1369014977712
2022,8,Nordrhein-Westfalen,413.8497272698827
2022,9,Nordrhein-Westfalen,284.59635889785903
2022,10,Nordrhein-Westfalen,615.4975550339683
2022,11,Nordrhein-Westfalen,308.4972296810938
2022,12,Nordrhein-Westfalen,315.44697809373326
2023,1,Nordrhein-Westfalen,209.8286263654388
2020,3,Hessen,10.50190609800654
2020,4,Hessen,19.12412097801589
2020,5,Hessen,6.739585683662634
